DATE,ENGAGEMENTS,,,FOLLOWS,,,IMPRESSIONS,,,REACH,,,USERS,PAGEVIEWS,Engagements (30-Day Rolling Average),,,Followers,,,,Impressions (30-Day Rolling Average),,,Reach (30-Day Rolling Average),,,USERS (30-day Rolling Average),PAGEVIEWS (30-day Rolling Average),,Website Visitors,Website Pageviews,Social Reach,Social Engagements,New Followers
,FB,LI,INSTA,FB,LI,INSTA,FB,LI,INSTA,FB,LI,INSTA,WEBSITE,WEBSITE,FB,LI,INSTA,FB,LI,INSTA,Total,FB,LI,INSTA,FB,LI,INSTA,WEBSITE,WEBSITE,,"95,022","275,641","571,000","19,152","1,194"
4/8/2025,2,58,3,0,6,0,676,467,61,347,279,33,795,1675,21.46666667,22.13333333,4.6,"7,930","5,376",681,"13,987",1386.366667,539.2333333,107.0666667,727.5,294.2666667,55.93333333,690.5666667,1553.033333,,,,,,
4/9/2025,4,43,5,0,6,1,844,378,118,418,231,85,780,1601,21.36666667,21.8,4.766666667,"7,930","5,382",681,"13,993",1383.766667,519.5,109.7666667,725.1,285.2,57.9,684,1505.233333,,,,,,
4/10/2025,31,137,12,0,3,2,1482,764,252,730,394,125,943,2290,22.3,22.16666667,5.166666667,"7,930","5,388",682,"14,000",1386.966667,530.0666667,116.3333333,740.2666667,290.1333333,60.93333333,684.7333333,1515.766667,,,,,,
4/11/2025,13,102,3,1,4,0,1356,879,110,645,410,66,837,2842,22.6,22.46666667,5.266666667,"7,930","5,391",684,"14,005",1417.366667,540.0333333,119.2666667,755.2333333,292.9333333,62.6,683.8,1534.866667,,,,,,
4/12/2025,15,75,0,1,3,0,1029,662,51,540,371,35,377,698,20.2,22.83333333,5.066666667,"7,931","5,395",684,"14,010",1340.8,537.1,116.1,724.0333333,293.8666667,61.26666667,666.7333333,1491.566667,,,,,,
4/13/2025,17,59,0,0,2,0,1318,469,41,720,250,19,289,540,19.7,22.3,4.1,"7,932","5,398",684,"14,014",1298.733333,517.3333333,110.2333333,708.7666667,287.9666667,59.16666667,653.2666667,1458.166667,,,,,,
4/14/2025,8,45,3,1,7,0,1017,418,197,384,229,37,763,1746,19.23333333,22.16666667,3.9,"7,932","5,400",684,"14,016",1294.766667,494.5,109.7666667,699.2,279.2666667,57.2,667.3,1494.633333,,,,,,
4/15/2025,3,38,3,0,4,0,1090,732,87,476,387,45,708,1439,19.03333333,22.2,3.933333333,"7,933","5,407",684,"14,024",1290.6,491.4333333,110.7,691.1666667,276.8,57.5,677.8666667,1519.233333,,,,,,
4/16/2025,12,30,1,0,0,0,1001,594,82,486,341,46,635,1347,18.96666667,21.16666667,3.766666667,"7,933","5,411",684,"14,028",1283.066667,481.2,106.2333333,682.4666667,272.3,55.33333333,671.3,1503.166667,,,,,,
4/17/2025,6,348,1,0,10,0,597,1417,27,322,733,18,567,1306,18.8,21.7,3.666666667,"7,933","5,411",684,"14,028",1259.866667,512.4,103.6333333,670.2,287.2666667,53.96666667,664.8,1492.1,,,,,,
4/18/2025,9,270,4,1,2,0,1051,1234,69,572,590,38,463,988,18.9,22.26666667,3.8,"7,933","5,421",684,"14,038",1276.3,534.2333333,104.6333333,680.2666667,296.2,54.6,652,1463.233333,,,,,,
4/19/2025,9,318,3,1,9,0,1109,1538,144,560,767,68,270,520,18.76666667,23.1,3.5,"7,934","5,423",684,"14,041",1270.433333,571.6,102.6,680.9333333,314.4666667,53.13333333,627.4,1394.633333,,,,,,
4/20/2025,3,157,6,0,2,2,463,1103,53,292,540,20,290,544,11.93333333,22.66666667,3.7,"7,935","5,432",684,"14,051",1101.333333,581.7666667,99.66666667,588.4333333,318.2,51.13333333,612.1666667,1361.133333,,,,,,
4/21/2025,20,169,2,3,17,0,873,2016,56,451,1142,37,739,2538,11.76666667,23.13333333,3.733333333,"7,935","5,434",686,"14,055",1081.766667,639,98.46666667,579.7,349.5,50.96666667,624.7333333,1422.266667,,,,,,
4/22/2025,8,154,1,1,14,0,878,1925,59,444,939,31,778,2077,11.76666667,23.7,3.7,"7,938","5,451",686,"14,075",1070.833333,691.2,97.63333333,562.7333333,372.9333333,50.8,636.9333333,1466,,,,,,
4/23/2025,3,88,4,1,8,0,816,1108,81,340,551,38,783,2077,11.46666667,23.43333333,3.533333333,"7,939","5,465",686,"14,090",1053.533333,714.1666667,96.26666667,548.1333333,381.2666667,49.5,634.1333333,1466.333333,,,,,,
4/24/2025,9,58,0,2,7,0,950,613,31,341,302,16,758,1820,10.46666667,23.03333333,3.433333333,"7,940","5,473",686,"14,099",1027.5,716.3,93.5,530.9333333,384.6,48.1,634.0333333,1470,,,,,,
4/25/2025,95,43,6,1,10,0,2305,825,105,931,493,47,653,1346,13.23333333,23.06666667,3.566666667,"7,942","5,480",686,"14,108",1069.333333,732.4666667,94.7,541.8333333,394.5,47.86666667,631.9666667,1460.966667,,,,,,
4/26/2025,8,77,0,1,2,0,1696,1222,95,692,636,50,279,490,13.23333333,23.06666667,3.566666667,"7,943","5,490",686,"14,119",1093.233333,763.1333333,97,548.5,409.4333333,48.96666667,614.2666667,1417.7,,,,,,
4/27/2025,17,37,0,0,3,0,978,602,58,426,368,30,324,514,13.43333333,22,3.433333333,"7,944","5,492",686,"14,122",1102.1,759.6333333,96.8,548.8,408.2,48.73333333,600.9333333,1384.5,,,,,,
4/28/2025,16,54,2,1,5,0,1836,716,90,750,385,50,753,1755,13.5,22.2,3.333333333,"7,944","5,495",686,"14,125",1122.733333,773.8666667,96.16666667,551.0333333,414.7,48.36666667,615.2666667,1424.033333,,,,,,
4/29/2025,4,98,1,2,5,0,920,814,98,439,342,54,823,2252,13.23333333,22.2,3.2,"7,945","5,500",686,"14,131",1115.233333,781.3333333,94,541.7,415.8333333,47.8,630.2,1476.766667,,,,,,
4/30/2025,26,92,7,0,5,0,1349,648,135,669,295,78,779,2210,13.93333333,22.16666667,3.3,"7,947","5,505",686,"14,138",1119.766667,786.1333333,95.16666667,539,416.5,48.6,631.2333333,1491.633333,,,,,,
5/1/2025,41,278,4,0,5,0,2952,1370,150,1140,624,67,710,1561,15.2,22.56666667,3.266666667,"7,947","5,510",686,"14,143",1176.433333,817.4333333,95.8,555.9333333,427.7666667,48.53333333,625.4,1476.066667,,,,,,
5/2/2025,29,105,14,1,7,0,1671,922,163,794,457,77,525,1012,15.26666667,22.66666667,3.533333333,"7,947","5,515",686,"14,148",1174.1,833.6666667,97.23333333,554.9,434.4666667,49,616.7,1454.933333,,,,,,
5/3/2025,10,67,3,0,2,0,788,595,64,424,277,33,265,515,15.23333333,22.46666667,3.566666667,"7,948","5,522",686,"14,156",1169.1,842.6,96.46666667,552.1333333,437.4666667,48.66666667,600.5666667,1415.333333,,,,,,
5/4/2025,19,60,10,1,5,0,1231,736,146,674,348,86,268,536,15.56666667,22.63333333,3.733333333,"7,948","5,524",686,"14,158",1183.166667,858.7333333,98.06666667,559.8,443.1666667,49.43333333,587.1,1375.5,,,,,,
5/5/2025,4,91,0,0,4,0,822,819,89,294,376,28,733,1631,15.26666667,22.5,3.6,"7,949","5,529",686,"14,164",1169.666667,878.2,96.1,547.8,450.7,48.16666667,602.6666667,1413.133333,,,,,,
5/6/2025,5,83,2,1,11,0,818,791,59,299,347,32,1127,2020,15.06666667,22.33333333,3.5,"7,949","5,533",686,"14,168",1162.466667,890.1333333,94.6,539.6333333,452.8666667,47.56666667,628,1458.4,,,,,,
5/7/2025,1,57,2,0,15,0,518,790,38,210,371,24,976,3485,14.9,22.5,3.4,"7,950","5,544",686,"14,180",1147.8,905.5666667,93.63333333,527,459.1666667,47.1,633,1512.5,,,,,,
5/8/2025,7,59,0,1,11,0,831,860,28,408,216,19,674,1563,15.06666667,22.16666667,3.3,"7,950","5,559",686,"14,195",1152.966667,918.6666667,92.53333333,529.0333333,457.0666667,46.63333333,628.9666667,1508.766667,,,,,,
5/9/2025,16,77,6,3,7,0,1189,1010,113,587,421,76,618,1405,15.46666667,22.23333333,3.333333333,"7,951","5,570",686,"14,207",1164.466667,939.7333333,92.36666667,534.6666667,463.4,46.33333333,623.5666667,1502.233333,,,,,,
5/10/2025,10,69,5,0,2,0,676,780,84,424,362,46,352,574,14.76666667,22.53333333,3.1,"7,954","5,577",686,"14,217",1137.6,940.2666667,86.76666667,524.4666667,462.3333333,43.7,603.8666667,1445.033333,,,,,,
5/11/2025,18,50,5,1,2,0,889,908,171,584,533,120,335,652,14.93333333,22.1,3.166666667,"7,954","5,579",686,"14,219",1122.033333,941.2333333,88.8,522.4333333,466.4333333,45.5,587.1333333,1372.033333,,,,,,
5/12/2025,11,64,2,2,4,0,1528,976,150,892,444,96,741,1507,14.8,21.7,3.233333333,"7,955","5,581",686,"14,222",1138.666667,951.7,92.1,534.1666667,468.8666667,47.53333333,599.2666667,1399,,,,,,
5/13/2025,5,34,2,2,5,0,1107,481,46,539,257,29,750,1716,14.4,21.4,3.3,"7,957","5,585",686,"14,228",1131.633333,952.1,92.26666667,528.1333333,469.1,47.86666667,614.6333333,1438.2,,,,,,
5/14/2025,8,34,2,3,7,0,722,490,44,426,197,18,797,1833,14.4,20.66666667,3.266666667,"7,959","5,590",686,"14,235",1121.8,954.5,87.16666667,529.5333333,468.0333333,47.23333333,615.7666667,1441.1,,,,,,
5/15/2025,40,42,7,0,4,1,3036,760,104,1505,331,65,725,1614,15.63333333,20.73333333,3.4,"7,962","5,597",686,"14,245",1186.666667,955.4333333,87.73333333,563.8333333,466.1666667,47.9,616.3333333,1446.933333,,,,,,
5/16/2025,17,47,2,1,5,1,1460,959,65,727,388,48,590,1266,15.8,20.9,3.433333333,"7,962","5,601",687,"14,250",1201.966667,967.6,87.16666667,571.8666667,467.7333333,47.96666667,614.8333333,1444.233333,,,,,,
5/17/2025,6,32,1,0,5,1,633,459,45,480,201,28,233,428,15.8,19.83333333,3.433333333,"7,963","5,606",688,"14,257",1203.166667,935.6666667,87.76666667,577.1333333,450,48.3,603.7,1414.966667,,,,,,
5/18/2025,12,55,0,2,3,0,862,760,30,451,314,21,279,466,15.9,19.13333333,3.3,"7,963","5,611",689,"14,263",1196.866667,919.8666667,86.46666667,573.1,440.8,47.73333333,597.5666667,1397.566667,,,,,,
5/19/2025,24,67,3,2,3,0,1268,1054,78,658,415,62,749,1776,16.4,17.76666667,3.3,"7,965","5,614",689,"14,268",1202.166667,903.7333333,84.26666667,576.3666667,429.0666667,47.53333333,613.5333333,1439.433333,,,,,,
5/20/2025,14,41,4,0,4,0,951,1053,109,609,440,72,642,1446,16.76666667,17.43333333,3.233333333,"7,967","5,617",689,"14,273",1218.433333,902.0666667,86.13333333,586.9333333,425.7333333,49.26666667,625.2666667,1469.5,,,,,,
5/21/2025,6,98,14,0,5,0,725,1103,264,352,470,206,639,1594,16.3,17.26666667,3.633333333,"7,967","5,621",689,"14,277",1213.5,871.6333333,93.06666667,583.6333333,403.3333333,54.9,621.9333333,1438.033333,,,,,,
5/22/2025,4,27,0,0,2,0,731,651,28,328,322,24,710,1857,16.16666667,16.36666667,3.6,"7,967","5,626",689,"14,282",1208.6,829.1666667,92.03333333,579.7666667,382.7666667,54.66666667,619.6666667,1430.7,,,,,,
5/23/2025,23,29,4,1,4,1,1047,682,111,628,338,59,470,1141,16.83333333,16,3.6,"7,967","5,628",689,"14,284",1216.3,814.9666667,93.03333333,589.3666667,375.6666667,55.36666667,609.2333333,1399.5,,,,,,
5/24/2025,96,51,4,3,3,0,2776,746,108,1597,369,75,230,401,19.73333333,16.13333333,3.733333333,"7,968","5,632",690,"14,290",1277.166667,819.4,95.6,631.2333333,377.9,57.33333333,591.6333333,1352.2,,,,,,
5/25/2025,19,25,1,1,2,0,962,580,68,709,280,44,238,374,17.2,15.9,3.566666667,"7,971","5,635",690,"14,296",1232.4,811.2333333,94.36666667,623.8333333,370.8,57.23333333,577.8,1319.8,,,,,,
5/26/2025,35,44,5,2,2,0,967,732,111,714,316,81,341,578,18.1,15.66666667,3.733333333,"7,972","5,637",690,"14,299",1208.1,794.9,94.9,624.5666667,360.1333333,58.26666667,579.8666667,1322.733333,,,,,,
5/27/2025,3,49,8,0,6,0,911,965,157,515,340,99,681,1705,17.63333333,16.16666667,4,"7,974","5,639",690,"14,303",1205.866667,807,98.2,627.5333333,359.2,60.56666667,591.7666667,1362.433333,,,,,,
5/28/2025,13,41,8,0,4,0,927,424,124,446,221,78,714,1898,17.53333333,16.23333333,4.2,"7,974","5,645",690,"14,309",1175.566667,797.2666667,99.33333333,617.4,353.7333333,61.5,590.4666667,1367.2,,,,,,
5/29/2025,35,29,0,3,5,0,1921,544,26,932,323,17,701,1524,18.56666667,16.16666667,4.166666667,"7,974","5,649",690,"14,313",1208.933333,788.2666667,96.93333333,633.8333333,353.1,60.26666667,586.4,1342.933333,,,,,,
5/30/2025,7,424,6,0,28,1,1626,5964,131,709,3309,69,511,1046,17.93333333,19.73333333,4.133333333,"7,977","5,654",690,"14,321",1218.166667,965.4666667,96.8,635.1666667,453.5666667,59.96666667,577.4666667,1304.133333,,,,,,
5/31/2025,7,328,2,1,24,0,1096,4557,116,568,2742,55,230,423,16.8,21.4,4.066666667,"7,977","5,682",691,"14,350",1156.3,1071.7,95.66666667,616.1,524.1666667,59.56666667,561.4666667,1266.2,,,,,,
6/1/2025,6,174,0,2,19,0,1096,2352,90,565,1409,47,314,579,16.8,74.3,3.6,"7,978",5706,691,"14,375",1137.133333,1119.366667,0.166666667,608.4666667,555.9,93.23333333,554.4333333,1251.766667,,,,,,
6/2/2025,15,157,2,0,8,0,1231,2464,75,550,1338,47,626,1426,16.03333333,75.96666667,3.566666667,"7,979",5725,691,"14,395",1151.9,1181.666667,0.166666667,612.6666667,591.2666667,93.6,566.4666667,1282.133333,,,,,,
6/3/2025,18,96,5,0,10,0,1070,1444,60,413,794,38,711,1728,16.2,78.26666667,3.4,"7,981",5733,693,"14,407",1146.533333,1205.266667,0.166666667,603.9666667,606.1333333,90.73333333,581.2333333,1321.866667,,,,,,
6/4/2025,11,100,3,1,7,1,18667,12092,1984,14643,756,1920,670,1866,16.16666667,81.26666667,3.5,"7,981",5743,698,"14,422",1741.366667,1581.033333,0.2,1082.266667,618.8,153.9,579.1333333,1329.7,,,,,,
6/5/2025,39,78,3,2,9,0,21426,6503,2454,16175,826,2234,612,1645,16.4,82.46666667,3.533333333,"7,981",5750,701,"14,432",2428.3,1771.433333,0.2,1611.466667,634.7666667,233.7333333,561.9666667,1317.2,,,,,,
6/6/2025,22,130,15,0,4,0,22022,5213,2767,16295,1003,2494,515,1338,17.53333333,82.76666667,3.966666667,"7,982",5759,704,"14,445",3145.1,1918.866667,0.2,2147.633333,655.8333333,324.7,546.6,1245.633333,,,,,,
6/7/2025,23,159,1,0,12,0,21749,4413,3017,15999,1222,2667,246,437,18.23333333,82.6,4,"7,984",5763,719,"14,466",3842.366667,2037.3,0.2,2667.333333,689.3666667,424.3333333,532.3333333,1208.1,,,,,,
6/8/2025,22,88,2,1,6,0,20770,2909,3349,15710,695,2971,269,529,18.76666667,85.03333333,3.866666667,"7,984",5775,720,"14,479",4495.066667,2100.6,0.2,3171.433333,698.5,532.2,520.7,1178.9,,,,,,
6/9/2025,27,127,1,0,10,0,19103,4011,3339,13513,884,3063,639,1624,18.96666667,88.36666667,3.733333333,"7,984",5781,722,"14,487",5109.3,2208.3,0.2,3607.733333,715.9,640.7,530.2666667,1213.9,,,,,,
6/10/2025,19,87,5,4,11,0,17905,3577,3086,12819,802,2730,632,1509,19.53333333,88.73333333,3.733333333,"7,985",5791,723,"14,499",5676.5,2297.266667,0.2,4015.566667,724.8666667,737.8666667,540.1666667,1242.466667,,,,,,
6/11/2025,12,78,2,3,7,0,20852,7237,2825,14848,658,2591,575,1279,19.56666667,90.66666667,3.733333333,"7,985",5802,728,"14,515",6320.633333,2505.966667,0.2,4480.766667,732,827.0333333,534.6333333,1234.866667,,,,,,
6/12/2025,12,33,5,1,4,0,18912,5364,2977,14340,365,2741,517,1169,19.6,91.9,3.833333333,"7,989",5809,730,"14,528",6914.133333,2668.733333,0.2,4940.8,735.6,924.7333333,526.8666667,1216.633333,,,,,,
6/13/2025,35,57,6,2,8,0,19945,5076,2793,14275,490,2566,444,949,19.83333333,92.36666667,3.966666667,"7,992",5813,735,"14,540",7554.9,2821.6,0.2,5402.433333,745.3666667,1016.366667,515.1,1187.166667,,,,,,
6/14/2025,11,21,2,1,7,0,21225,3936,2880,16076,193,2656,236,492,20.73333333,92.33333333,3.8,"7,993",5821,741,"14,555",8161.2,2927.466667,0.166666667,5888.133333,740.7666667,1108.9,498.8,1149.766667,,,,,,
6/15/2025,14,21,1,0,6,0,21320,2610,2917,15841,1214,2738,232,449,19.76666667,93.1,3.766666667,"7,995",5828,743,"14,566",8823.2,2982.5,0.133333333,6391.933333,733.8333333,1203.966667,486.8666667,1122.533333,,,,,,
6/16/2025,11,33,5,0,5,0,20500,3603,3232,15313,1753,3014,545,1229,19.66666667,92.4,3.9,"7,996",5834,744,"14,574",9485.433333,3087.3,0.1,6886.366667,737.4,1310.2,497.2666667,1149.233333,,,,,,
6/17/2025,13,41,0,1,5,0,19541,3279,2676,14542,1706,2609,524,1234,19.83333333,91.53333333,3.9,"7,996",5839,749,"14,584",10108.06667,3171.266667,0.1,7356.066667,736.3333333,1398.4,505.4333333,1174.833333,,,,,,
6/18/2025,20,63,3,1,6,1,21274,6128,2683,16191,2476,2545,492,1069,19.86666667,91.56666667,3.9,"7,996",5844,749,"14,589",10774.93333,3340.4,0.133333333,7873.833333,737.5,1485.233333,496.8666667,1151.266667,,,,,,
6/19/2025,10,28,4,0,0,0,18847,5039,2574,14638,2323,2518,432,872,19.73333333,91.1,3.9,"7,997",5850,752,"14,599",11371.46667,3473.266667,0.133333333,8341.466667,730.7,1567.4,489.8666667,1132.133333,,,,,,
6/20/2025,16,16,5,0,2,0,19023,3356,2568,14197,1630,2401,427,900,19.6,90.96666667,3.6,"7,998",5850,756,"14,604",11981.4,3548.366667,0.133333333,8802.966667,721.0333333,1644.2,482.8,1109,,,,,,
6/21/2025,8,36,6,1,5,1,13618,3628,1722,10845,1679,1575,251,506,19.93333333,90.53333333,3.8,"7,998",5852,761,"14,611",12410.96667,3647.6,0.166666667,9153.533333,720.3,1700.666667,467.5,1063.966667,,,,,,
6/22/2025,9,34,3,0,2,0,670,596,87,346,320,57,233,431,20.06666667,87.8,3.766666667,"7,998",5857,767,"14,622",12398.4,3644.733333,0.133333333,9144.133333,719.7,1699.866667,459.6,1040.3,,,,,,
6/23/2025,19,36,8,1,2,0,19752,4777,2470,15415,1925,2237,599,1356,19.6,88.1,3.9,"7,999",5859,770,"14,628",12964.26667,3779.1,0.133333333,9604.733333,717.8666667,1778.6,471.9,1072.133333,,,,,,
6/24/2025,19,45,2,0,5,0,21837,4344,2855,16688,2106,2689,522,1175,17.03333333,88.26666667,3.933333333,"7,999",5861,778,"14,638",13660.1,3904.566667,0.133333333,10137.36667,718.1,1871.5,481.3666667,1098.833333,,,,,,
6/25/2025,24,31,0,0,2,0,22660,5185,2666,17557,2279,2491,534,1201,17.03333333,87.76666667,3.766666667,"8,000",5866,780,"14,646",14383.2,4053,0.133333333,10698.8,715.3666667,1956.666667,487.8,1119.6,,,,,,
6/26/2025,30,17,1,0,2,1,22641,4377,2766,16977,2041,2587,528,1132,16.66666667,88.43333333,3.533333333,"8,000",5868,780,"14,648",15107.53333,4166.733333,0.166666667,11247.53333,710.0333333,2043.633333,482.7,1100.5,,,,,,
6/27/2025,15,49,6,2,5,0,23033,4885,2789,17780,2227,2630,489,979,17.56666667,88,3.466666667,"8,000",5870,781,"14,651",15844.4,4315.433333,0.166666667,11825.33333,713.6666667,2132.466667,475.2,1069.866667,,,,,,
6/28/2025,22,120,2,2,7,0,21994,4338,2756,16291,2018,2535,271,501,17.63333333,86.93333333,3.533333333,"8,000",5875,787,"14,662",16513.5,4441.9,0.166666667,12337.3,724.6333333,2223.466667,460.8666667,1035.766667,,,,,,
6/29/2025,58,91,7,3,10,0,20724,3861,2932,15394,1953,2674,282,508,17.2,87.2,3.566666667,"8,002",5882,789,"14,673",17150.1,4371.8,0.133333333,12826.8,637.9333333,2316.833333,453.2333333,1017.833333,,,,,,
6/30/2025,26,106,8,1,8,0,23530,4376,2856,17110,2094,2542,568,1376,18.9,90.23333333,3.766666667,"8,004",5892,796,"14,692",17897.9,4365.766667,0.133333333,13378.2,572.5333333,2408.166667,464.5,1049.6,,,,,,
7/1/2025,10,177,3,0,7,0,1617,2455,129,617,1296,65,513,1290,19.53333333,79.13333333,3.866666667,"8,007",5900,804,"14,711",17915.26667,4369.2,0.133333333,13379.93333,568.7666667,2409.466667,471.1333333,1073.3,,,,,,
7/2/2025,6,106,0,2,8,0,855,1440,63,415,778,30,489,1229,19.66666667,71.73333333,3.8,"8,008",5907,807,"14,722",17902.73333,4335.066667,0.133333333,13375.43333,550.1,2409.066667,466.5666667,1066.733333,,,,,,
7/3/2025,13,76,2,1,3,0,14429,1387,1602,12471,863,1545,367,821,19.36666667,71.83333333,3.7,"8,008",5915,807,"14,730",18348.03333,4333.166667,0.133333333,13777.36667,552.4,2460.466667,455.1,1036.5,,,,,,
7/4/2025,26,61,14,1,5,0,17810,791,3534,13619,441,3523,224,390,19.2,70.13333333,4.066666667,"8,010",5918,809,"14,737",18319.46667,3956.466667,0.1,13743.23333,541.9,2512.133333,440.2333333,987.3,,,,,,
7/5/2025,32,59,1,2,-1,0,18730,703,2525,15812,437,2441,234,405,19.7,69.46666667,4,"8,011",5923,823,"14,757",18229.6,3763.133333,0.1,13731.13333,528.9333333,2514.5,427.6333333,945.9666667,,,,,,
7/6/2025,13,64,4,0,2,0,18911,951,3455,15260,537,3284,237,445,19.46666667,68.16666667,3.633333333,"8,012",5922,824,"14,758",18125.9,3621.066667,0.1,13696.63333,513.4,2537.433333,418.3666667,916.2,,,,,,
7/7/2025,8,126,3,0,7,0,17802,5261,3435,13827,1905,3345,705,1422,19.16666667,67.53333333,3.7,"8,014",5924,828,"14,766",17994.33333,3649.333333,0.1,13624.23333,488.8,2551.366667,433.6666667,949.0333333,,,,,,
7/8/2025,64,238,6,5,,0,16785,,4210,11482,,3913,623,1429,18.66666667,65.33333333,3.833333333,"8,014",5931,831,"14,776",17861.5,3674.862069,0.1,13483.3,481.6896552,2580.066667,445.4666667,979.0333333,,,,,,
7/9/2025,9,178,1,2,,0,4987,,4635,3612,,4644,258,498,20.06666667,64.23333333,3.833333333,"8,014",5931,837,"14,782",17390.96667,3662.857143,0.1,13153.26667,467.3214286,2623.266667,432.7666667,941.5,,,,,,
,,155,2,,,0,,,720,,,734,,,,,,,,,,,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
